TEMP:	MU:	SIGMA:	H:	ERROR:
2.985	0.848857	0.920545	-0.0277379	0.0194888
2.985	0.846052	0.970153	0.0539407	0.0319742
2.985	1.04487	0.866361	0.375126	0.0456451
2.985	0.927783	0.939746	0.274879	0.0423042
2.985	1.03363	0.931214	0.570925	0.0481532
2.985	0.834753	0.864931	-0.132444	0.0228021
2.985	0.70649	1.01454	0.0372843	0.0346985
2.985	0.711361	1.14386	0.343197	0.0524709
2.985	0.575672	1.16187	0.16938	0.0427942
2.985	0.53171	1.07042	-0.141119	0.0222599
2.985	0.383294	0.972487	-0.251005	0.0130888
2.985	0.290311	1.07798	-0.195963	0.0182398
2.985	0.378816	1.21511	0.122517	0.0665205
2.985	0.191449	1.22403	0.0344724	0.0417662
2.985	0.198752	1.20495	-0.0749081	0.0254824
2.985	0.0874318	1.07323	-0.199131	0.0178866
2.985	0.204682	1.19801	-0.0280666	0.0289371
2.985	0.266885	1.23556	0.0836583	0.0406483
2.985	0.0874768	1.0968	-0.175641	0.0215813
2.985	0.0874768	1.0968	-0.204207	0.017767
2.985	0.0874768	1.0968	-0.199341	0.0160695
2.985	0.265284	1.19928	-0.000720574	0.0362743
2.985	0.196913	1.28808	0.252605	0.0479742
2.985	0.202714	1.26331	0.0714544	0.0317687
2.985	0.202714	1.26331	0.0714544	0.0317687
2.985	0.202714	1.26331	0.0714544	0.0317687
2.985	0.129508	1.25757	0.0444151	0.0289785
2.985	0.00138113	1.21646	-0.0164379	0.0362606
2.985	0.180954	1.26466	0.16283	0.0409427
2.985	0.153559	1.39538	0.537919	0.0618083
2.985	0.153559	1.39538	0.623866	0.0699481
2.985	0.00164173	1.54044	1.5709	0.227579
2.985	0.00164173	1.54044	1.15302	0.0879802
2.985	0.00164173	1.54044	1.38171	0.119685
2.985	0.00164173	1.54044	1.56861	0.114722
2.985	0.0681851	1.50592	1.09127	0.0931713
2.985	0.0681851	1.50592	1.09127	0.0931713
2.985	0.198845	1.4824	1.13749	0.104076
2.985	0.272165	1.33776	0.409927	0.0547298
2.985	0.0749903	1.33721	0.283549	0.0517647
2.985	0.0749903	1.33721	0.403379	0.0731018
2.985	0.259739	1.40943	0.699854	0.0914234
2.985	0.38291	1.28956	0.318728	0.0516006
2.985	0.38291	1.28956	0.318728	0.0516006
2.985	0.539566	1.37988	0.998296	0.0980823
2.985	0.390348	1.25826	0.318007	0.0604144
2.985	0.327878	1.20887	-0.0171038	0.0322248
2.985	0.327878	1.20887	-0.0171038	0.0322248
2.985	0.240324	1.25638	0.10397	0.0366573
2.985	0.310763	1.24254	0.0695068	0.033989
2.985	0.354712	1.15701	-0.00585573	0.0319954
2.985	0.225771	1.22485	0.0192137	0.0348941
2.985	0.0400268	1.27281	0.152487	0.044311
2.985	0.0400268	1.27281	0.0374607	0.0344736
2.985	0.042049	1.36353	0.389487	0.0517186
