#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         685     1.74129     1.71772   0.0128905
         686     1.73828     1.71775   0.0128718
         687      1.7351     1.71778    0.012853
         688     1.73178      1.7178   0.0128344
         689     1.72831     1.71781   0.0128158
         690     1.72472     1.71782   0.0127972
         691       1.721     1.71783   0.0127787
         692     1.71716     1.71783   0.0127602
         693     1.71321     1.71782   0.0127418
         694     1.70915     1.71781   0.0127234
         695       1.705     1.71779   0.0127051
         696     1.70074     1.71776   0.0126869
         697      1.6964     1.71773   0.0126688
         698     1.69197      1.7177   0.0126507
         699     1.68747     1.71765   0.0126326
         700      1.6829      1.7176   0.0126147
         701     1.67826     1.71755   0.0125968
         702     1.67358     1.71748    0.012579
         703     1.66886     1.71742   0.0125613
         704     1.66412     1.71734   0.0125437
         705     1.65936     1.71726   0.0125262
         706      1.6546     1.71717   0.0125088
         707     1.64985     1.71707   0.0124914
         708     1.64512     1.71697   0.0124742
         709     1.64045     1.71686   0.0124571
         710     1.63582     1.71675     0.01244
         711     1.63128     1.71663   0.0124231
         712     1.62682      1.7165   0.0124063
         713     1.62246     1.71637   0.0123896
         714     1.61821     1.71623    0.012373
         715     1.61409     1.71609   0.0123566
         716     1.61011     1.71594   0.0123402
         717     1.60627     1.71579   0.0123239
         718     1.60258     1.71563   0.0123078
         719     1.59905     1.71547   0.0122917
         720     1.59568      1.7153   0.0122758
         721     1.59247     1.71513   0.0122599
         722     1.58941     1.71496   0.0122442
         723     1.58651     1.71478   0.0122285
         724     1.58376      1.7146    0.012213
         725     1.58115     1.71442   0.0121975
         726     1.57867     1.71423   0.0121822
         727     1.57631     1.71404   0.0121669
         728     1.57405     1.71385   0.0121517
         729     1.57189     1.71365   0.0121366
         730     1.56981     1.71346   0.0121215
