#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         648     1.15018     1.14403  0.00908211
         649     1.15058     1.14404  0.00906812
         650     1.15108     1.14405  0.00905417
         651     1.15168     1.14406  0.00904027
         652     1.15239     1.14407  0.00902642
         653     1.15323     1.14409   0.0090126
         654     1.15418      1.1441  0.00899884
         655     1.15524     1.14412  0.00898511
         656      1.1564     1.14414  0.00897144
         657     1.15766     1.14416  0.00895781
         658     1.15898     1.14418  0.00894422
         659     1.16037      1.1442  0.00893068
         660     1.16179     1.14423  0.00891719
         661     1.16322     1.14426  0.00890375
         662     1.16465     1.14429  0.00889035
         663     1.16604     1.14432    0.008877
         664     1.16738     1.14436   0.0088637
         665     1.16864     1.14439  0.00885045
         666      1.1698     1.14443  0.00883724
         667     1.17084     1.14447  0.00882408
         668     1.17175     1.14451  0.00881096
         669     1.17251     1.14455  0.00879789
         670     1.17311      1.1446  0.00878486
         671     1.17353     1.14464  0.00877188
         672     1.17377     1.14468  0.00875893
         673     1.17383     1.14473  0.00874602
         674     1.17369     1.14477  0.00873315
         675     1.17337     1.14481  0.00872032
         676     1.17286     1.14485  0.00870752
         677     1.17217     1.14489  0.00869475
         678      1.1713     1.14493  0.00868201
         679     1.17026     1.14497  0.00866931
         680     1.16905     1.14501  0.00865663
         681     1.16769     1.14504  0.00864398
         682     1.16618     1.14507  0.00863136
         683     1.16454      1.1451  0.00861877
         684     1.16276     1.14512  0.00860621
         685     1.16086     1.14515  0.00859368
         686     1.15885     1.14517  0.00858117
         687     1.15674     1.14518   0.0085687
         688     1.15452      1.1452  0.00855625
         689     1.15221     1.14521  0.00854384
         690     1.14981     1.14521  0.00853146
         691     1.14733     1.14522  0.00851912
         692     1.14477     1.14522  0.00850681
         693     1.14214     1.14521  0.00849453
         694     1.13943      1.1452   0.0084823
         695     1.13666     1.14519   0.0084701
         696     1.13383     1.14518  0.00845795
         697     1.13093     1.14516  0.00844584
         698     1.12798     1.14513  0.00843377
         699     1.12498      1.1451  0.00842176
         700     1.12193     1.14507  0.00840979
         701     1.11884     1.14503  0.00839788
         702     1.11572     1.14499  0.00838602
         703     1.11258     1.14494  0.00837421
         704     1.10941     1.14489  0.00836247
         705     1.10624     1.14484  0.00835079
         706     1.10306     1.14478  0.00833917
         707      1.0999     1.14472  0.00832762
         708     1.09675     1.14465  0.00831613
         709     1.09363     1.14458  0.00830471
         710     1.09055      1.1445  0.00829336
         711     1.08752     1.14442  0.00828209
         712     1.08454     1.14434  0.00827088
         713     1.08164     1.14425  0.00825975
         714     1.07881     1.14416  0.00824869
         715     1.07606     1.14406   0.0082377
         716     1.07341     1.14396  0.00822679
         717     1.07085     1.14386  0.00821595
         718     1.06839     1.14376  0.00820518
         719     1.06603     1.14365  0.00819448
         720     1.06379     1.14354  0.00818385
         721     1.06164     1.14342  0.00817328
         722     1.05961     1.14331  0.00816279
         723     1.05767     1.14319  0.00815236
         724     1.05584     1.14307  0.00814199
         725      1.0541     1.14294  0.00813168
         726     1.05244     1.14282  0.00812144
         727     1.05087     1.14269  0.00811125
         728     1.04937     1.14257  0.00810112
         729     1.04793     1.14244  0.00809105
         730     1.04654      1.1423  0.00808103
